Date,Event,Source,Topic
5/8/19,Hackers Steal $40 Million Worth of Bitcoin From Binance Exchange,https://www.bloomberg.com/news/articles/2019-05-08/crypto-exchange-giant-binance-reports-a-hack-of-7-000-bitcoin,Crypto
5/24/19, Theresa May Resigns as PM of GB,https://www.bbc.com/news/uk-politics-48379730,General
5/1/19, Trump First Tweets About $200 Billion in Chinese Tarriffs,https://twitter.com/realDonaldTrump/status/1125069835044573186?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=https%3A%2F%2Fwww.cnbc.com%2F2019%2F05%2F31%2Fthe-markets-drop-in-may-felt-serious-but-it-is-normal-for-stocks.html,General
6/30/19,2019 Koreas–United States DMZ summit,https://www.nytimes.com/2019/06/30/world/asia/trump-kim-north-korea-meeting.html,General
6/16/19,U.S. blames Iran for helping Houthi rebels shoot down drone in Yemen,https://www.reuters.com/article/us-mideast-attacks-usa-drone/us-blames-iran-for-helping-houthi-rebels-shoot-down-drone-in-yemen-idUSKCN1TH0LA,General
6/21/19, BTC Hits $10000,https://www.coindesk.com/price/bitcoin,Crypto
7/18/19,Facebook Announces Libra Cryptocurrency,https://techcrunch.com/2019/06/18/facebook-libra/,Crypto
7/1/19,Protests Begin in Hong Kong,https://www.cnn.com/asia/live-news/hong-kong-july-1-protests-intl-hnk/index.html,General
7/23/19,Boris Johnson Wins race to be Tory Leader and PM,https://www.bbc.com/news/uk-politics-49084605,General
7/17/19, Facebook currency czar first questioned by Congress,https://www.cnbc.com/2019/07/17/facebook-currency-chief-questioned-at-house-financial-services-hearing.html,Crypto
7/16/19,BTC Comes down from $10000,https://www.coindesk.com/price/bitcoin,Crypto
7/31/19,UK Financial Regulator FCA regards Ether and BTC as exchange tokens and not currency,https://cointelegraph.com/news/uk-financial-regulator-fca-wont-regulate-bitcoin-and-ether,Crypto
7/7/19, Deutsche Bank Lays off 18000 employees including global equities unit,https://www.reuters.com/article/us-deutsche-bank-strategy/big-axe-falls-as-deutsche-bank-to-lay-off-18000-in-83-billion-reinvention-idUSKCN1U309P,General
7/31/19,U.S. Federal Reserve cuts rates,https://www.bankrate.com/banking/federal-reserve/fomc-meeting-recap-july-2019/,General
8/13/19,Trump Tariff on China formerly announced,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/august/ustr-announces-next-steps-proposed,General
8/7/19, Bill introduced to U.S. Congress to help crytpotraders,https://cointelegraph.com/news/crypto-tax-bill-introduced-in-the-us-house-of-representatives,General
9/18/19, U.S. Federal Reserve cuts rates for 2nd time,https://www.cnn.com/2019/09/18/economy/federal-reserve-rate-jerome-powell/index.html,General
9/14/19,Two Saudi Oil Installations hit by Drone Strike U.S. blames Iranian-backed Houthi,https://www.nytimes.com/2019/09/14/world/middleeast/saudi-arabia-refineries-drone-attack.html,General
9/23/19,British Airline Thomas Cook collapses causing Govt intervention,https://www.theguardian.com/business/2019/sep/22/thomas-cook-in-last-ditch-talks-to-avoid-collapse,General
9/9/19,Bitcoin Hashrate to Hit a Milestone 100 Quintillion for the First Time,https://cointelegraph.com/news/bitcoin-hash-rate-to-hit-a-whopping-100-quintillion-for-the-first-time,Crypto
9/16/19, WeWork delays IPO,https://www.businessinsider.com/wework-ipo-fiasco-adam-neumann-explained-events-timeline-2019-9#heres-a-30-second-explanation-of-whats-going-on-1,General
9/24/19,WeWork CEO steps down,https://www.businessinsider.com/wework-ipo-fiasco-adam-neumann-explained-events-timeline-2019-9#heres-a-30-second-explanation-of-whats-going-on-1,General
10/27/19,U.S. Special Forces killed Abu Bakr al-Baghdadi-- the leader of the Islamic State,https://www.theguardian.com/world/2019/oct/27/abu-bakr-al-baghdadi-isis-leader-killed-us-donald-trump,General
11/21/19, WeWork lays off 2400,https://www.businessinsider.com/wework-ipo-fiasco-adam-neumann-explained-events-timeline-2019-9#heres-a-30-second-explanation-of-whats-going-on-1,General
10/31/19,A Divided House Endorses Impeachment Inquiry Into Trump,https://www.nytimes.com/2019/10/31/us/politics/house-impeachment-vote.html,General
